id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,concept_concat_sgtrt5_dtype_constraints,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_lof_sgtrt5,reconstruction_error_lof_glove,reconstruction_error_01lof_sgtrt5,reconstruction_error_01lof_glove,reconstruction_error_pca2_glove,reconstruction_error_pca5_glove,reconstruction_error_pca2_sgtrt5,reconstruction_error_pca5_sgtrt5,reconstruction_error_01pca2_glove,reconstruction_error_01pca5_glove,reconstruction_error_01pca40_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01pca5_sgtrt5,reconstruction_error_01pca55_sgtrt5,reconstruction_error_01ae_v0_glove,reconstruction_error_01ae_v0_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC
CONCEPT_168,regionid,CONCEPT_164,customer,OC_HANA,1,0,0,0,0,0,0,0,0,0,regionid:customer:OC_HANA,customer region id,customer region id numeric,0.73339015,0.6755838368322002,1.0446066,1.0210023140927993,1.0430655,1.043891730088667,0.1149783793537705,0.0838687483464242,0.00043806006,0.00022064064,0.0301500123703448,0.0186748687786507,0.0034617099557448,0.027994657,0.014500762,0.0019052351,592.80707,786.06433,723.5793,986.87646,0.3536919997566774,0.34189325600320025
CONCEPT_169,customer,CONCEPT_164,customer,OC_HANA,0,1,0,0,0,0,0,0,0,0,customer:customer:OC_HANA,customer customer,customer customer text,0.7776043,0.5927406598056472,0.9995184,1.0045344983905409,1.0086683,1.001673895632094,0.0768093473961684,0.0705710575855171,0.00052941503,0.000287684,0.0245684464326044,0.0163958069164123,0.0058372120688718,0.034463752,0.019524416,0.0044712382,541.0511,816.928,658.43823,1011.9488,0.40327917881498176,0.32043532525199503
CONCEPT_170,cityname,CONCEPT_164,customer,OC_HANA,0,1,0,0,0,0,0,0,0,0,cityname:customer:OC_HANA,customer city name,customer city name text,0.7814903,0.6662571746686274,1.0242407,1.0274967222571818,1.0237323,0.9973752569970816,0.1135602109160617,0.0948225936955432,0.0005285682,0.00024656835,0.0313273584050255,0.0193801282167726,0.0015920328600784,0.034310427,0.0163583,0.0017667947,590.2302,814.9172,711.36584,1030.8004,0.44562021641446314,0.39464246698396177
CONCEPT_171,countryname,CONCEPT_164,customer,OC_HANA,0,1,0,0,0,0,0,0,0,0,countryname:customer:OC_HANA,customer country name,customer country name text,0.76414126,0.6920803874168419,1.0180709,1.0188641850036253,1.0264138,1.0020379141833144,0.1234247240878993,0.108870703909003,0.00053044286,0.00021672067,0.0332675137214089,0.0212101407155675,0.002020548570155,0.033631455,0.014649103,0.0017939002,593.8402,813.4822,723.57294,1021.3382,0.4190817522639352,0.39282878237793917
CONCEPT_172,regionname,CONCEPT_164,customer,OC_HANA,0,1,0,0,0,0,0,0,0,0,regionname:customer:OC_HANA,customer region name,customer region name text,0.7700582,0.707951325421108,1.0186437,1.0267332691670246,1.0189067,1.01134750616012,0.1222986131059549,0.1068021614762636,0.00052444387,0.00024339947,0.0346524896927324,0.0222935640559675,0.0035274820057714,0.033745676,0.016407495,0.0020373678,604.4301,808.19995,731.44257,1009.7473,0.4103285024942872,0.38728309937207517
CONCEPT_174,productid,CONCEPT_173,product,OC_HANA,1,0,0,0,1,0,0,0,0,0,productid:product:OC_HANA,product product id,product product id numeric primary key,0.7081801,0.5652854876991817,0.9949144,0.9602201503942012,1.0019845,1.0045172401465927,0.0631185162699216,0.0273570803744872,0.0003506491,0.00012478081,0.0201908174870234,0.0119812295408403,0.0015505341925182,0.022412902,0.008160539,0.0018485117,569.5073,749.0091,694.6699,932.9768,0.20946767034820848,0.16387253361164178
CONCEPT_175,categoryid,CONCEPT_173,product,OC_HANA,1,0,0,0,0,0,0,0,0,0,categoryid:product:OC_HANA,product category id,product category id numeric,0.7338481,0.6937163229515861,1.0225977,1.009817255089746,1.0196824,1.0158700252403947,0.1130591306004017,0.0642186361519177,0.00037622266,0.00017974897,0.027046582651695,0.0177475247082463,0.0040082339042669,0.02447681,0.01192983,0.0020771099,619.1511,777.45544,749.04974,964.6079,0.2918335785567652,0.2882563588373077
CONCEPT_176,lineid,CONCEPT_173,product,OC_HANA,1,0,0,0,0,0,0,0,0,0,lineid:product:OC_HANA,product line id,product line id numeric,0.7142277,0.6645913875794767,1.0279303,1.00405705188258,1.0313833,1.007358875466662,0.0982753717668599,0.0592955463572724,0.00038227413,0.00021816196,0.0240556792722622,0.0177303695607159,0.001894504493428,0.025601173,0.014640172,0.0013652369,591.1534,772.0762,717.6161,958.76434,0.2785289588109778,0.275401163361849
CONCEPT_177,productname,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,productname:product:OC_HANA,product product name,product product name text,0.76938325,0.5882424190266962,0.9925609,0.9789540363979028,0.99209565,0.9931516669365492,0.0629095563959286,0.0425683115384011,0.00022484995,0.00019589439,0.0153161609405948,0.0130048118926503,0.0014431951169462,0.014678282,0.012778471,0.0017331414,553.7085,755.65765,680.8221,943.5276,0.2187676465323529,0.13974648823155478
CONCEPT_178,productdescription,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,productdescription:product:OC_HANA,product product description,product product description text,0.81171256,0.5762190628754278,1.0032138,0.9922354953763152,1.0043976,0.9927551330546064,0.0556703791698814,0.0371899366085977,0.00030362126,0.00028134472,0.0141989282691528,0.0119218597915211,0.0027830745458688,0.020110732,0.018848104,0.001560493,547.5292,797.21423,673.8587,990.7982,0.3323752048394163,0.21707580523203168
CONCEPT_179,categoryname,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,categoryname:product:OC_HANA,product category name,product category name text,0.8118701,0.7134815299493272,1.0007292,1.006123144026002,1.0015488,0.998677119841983,0.1198076495758228,0.0844346153957161,0.00028027975,0.000262139,0.0236180670668554,0.0209656822308051,0.0037379335004981,0.018674329,0.017516725,0.0018280167,615.3119,810.5664,746.5008,1000.4811,0.3318824322953846,0.28121250175509815
CONCEPT_180,categorydescription,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,categorydescription:product:OC_HANA,product category description,product category description text,0.83560055,0.7117380723589387,1.0081466,1.0595223613350426,1.0093476,1.0049704815641856,0.1210366545645698,0.0883396067841517,0.00029910248,0.0002911445,0.0227697702735731,0.0199904511046524,0.0044793476658844,0.019771809,0.019273305,0.0011250298,611.57227,816.8431,741.86926,1015.1256,0.37636055379249095,0.3077094657421063
CONCEPT_181,linename,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,linename:product:OC_HANA,product line name,product line name text,0.7894452,0.7121714771936641,1.0119117,1.0137806760586967,1.0182391,0.9947485543904194,0.1094079064542343,0.0667605007583973,0.00029870096,0.0002662961,0.0220411421459375,0.0199903369171646,0.0014471794697018,0.019608514,0.017491812,0.002113847,595.7456,796.0801,724.62634,982.8535,0.3141830131553637,0.27910996731366233
CONCEPT_182,linedescription,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,linedescription:product:OC_HANA,product line description,product line description text,0.81963056,0.671945429481945,1.0213268,1.046044429576733,1.0193214,0.9988116852243693,0.1035743430510783,0.0633389548614699,0.00035399696,0.0003257584,0.01942130523819,0.0175569389596978,0.0034662056961158,0.0231805,0.021637866,0.0021035124,580.14667,810.4942,707.54944,1007.2421,0.38724317677341874,0.3113703064592209
CONCEPT_183,discontinued,CONCEPT_173,product,OC_HANA,1,0,0,0,0,0,0,0,0,0,discontinued:product:OC_HANA,product discontinued,product discontinued numeric,0.8760813,0.6910772060836576,1.1372026,1.0071030235483034,1.1298243,1.010061732492201,0.0857628778528227,0.0755810491166851,0.0005617007,0.00055430515,0.0230695233669539,0.021094772399462,0.0077042460277373,0.036834586,0.036379993,0.0026306852,600.98956,862.5818,729.3227,1024.6735,0.6162172644885517,0.5085504717251591
CONCEPT_184,capacity,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,capacity:product:OC_HANA,product capacity,product capacity text,0.8231543,0.7192726669495043,1.0924437,1.0292002036765022,1.0986388,1.0132297446884495,0.0982857059639958,0.0845279601704941,0.0004661357,0.00045767918,0.0243114314752761,0.0225453594731353,0.0080856382866861,0.03127873,0.030853346,0.006077873,612.81,832.29034,740.00214,1010.47424,0.49260407012228985,0.4365063958599432
CONCEPT_185,screensize,CONCEPT_173,product,OC_HANA,0,1,0,0,0,0,0,0,0,0,screensize:product:OC_HANA,product screen size,product screen size text,0.85556746,0.8367319332132181,1.1250874,1.2114750923346909,1.1378909,1.0319818536678005,0.1776755513795775,0.1253554775699775,0.0005376122,0.00052916264,0.0299088408517714,0.0282691612799385,0.0113591791618773,0.03673658,0.036192045,0.0026824437,662.90393,873.1239,797.4355,1039.9885,0.597830474554407,0.5736984613154265
